date,H2OC (mmol/mol),OT,PAR (�mol/m�/s),SWDR (W/m�),T (degC),Tdew (degC),Tlog (degC),Tpot (K),VPact (mbar),VPdef (mbar),VPmax (mbar),max. PAR (�mol/m�/s),max. wv (m/s),p (mbar),rain (mm),raining (s),rh (%),rho (g/m**3),sh (g/kg),wd (deg),wv (m/s)
2020-11-27 06:50:00,-0.8870479285764071,0.1274768942189842,-0.6794927812265621,-0.6727667420047998,-1.5830623012032323,-0.9009967503959034,-1.4567220915227368,-1.5877243597626598,-0.8858697527874515,-0.9808045153795212,-1.1942075447677742,-0.5882956449752665,-0.7168179306064912,0.4515895253395505,-0.0935055214483151,-0.2210504187684684,1.688602501069128,1.5723815126030474,-0.8877942486900194,0.2255497531802374,-0.015881502743266
2020-11-27 07:00:00,-0.8803243891962166,0.128258231513149,-0.6794927812265621,-0.6727667420047998,-1.5610370742998323,-0.8886212896424921,-1.451708299957542,-1.5662507017059644,-0.8767709541016687,-0.974027974969033,-1.1843420624759,-0.5882956449752665,-0.9864649092986834,0.4515895253395505,-0.0935055214483151,-0.2210504187684684,1.6512794377016742,1.5513665751828594,-0.880651088816351,0.0496149489584038,-0.0266301842332101
2020-11-27 07:10:00,-0.8736008498160259,0.1272164484542626,-0.6794927812265621,-0.6727667420047998,-1.5260558315709027,-0.8777927614832567,-1.4454410605010486,-1.5334086364427872,-0.8699468550873317,-0.9587807590454348,-1.1695438390380883,-0.5882956449752665,-1.0095775074723,0.4631760578413547,-0.0935055214483151,-0.2210504187684684,1.5766333109667665,1.5216829760768449,-0.8735079289426825,0.4946265125783363,-0.0272060064558856
2020-11-27 07:20:00,-0.8736008498160259,0.1269560026895411,-0.6794927812265621,-0.6727667420047998,-1.5221690268232442,-0.8777927614832567,-1.4379203731532564,-1.5296191673739552,-0.8699468550873317,-0.9570866239428129,-1.168310653751604,-0.5882956449752665,-0.840085120865779,0.4654933643417129,-0.0935055214483151,-0.2210504187684684,1.565969578576066,1.5187934221815658,-0.8735079289426825,0.2508475681663836,-0.0189525545975357
2020-11-27 07:30:00,-0.8668773104358352,0.1355507129253531,-0.6794927812265621,-0.6727667420047998,-1.5234646284057969,-0.8669642333240215,-1.4291462379141655,-1.5308823237302305,-0.8631227560729946,-0.9621690292506788,-1.168310653751604,-0.5882956449752665,-0.9556481117338612,0.4597000980908174,-0.0935055214483151,-0.2210504187684684,1.5979607757481686,1.5180053620283094,-0.866364769069014,0.2312992565861797,-0.0222155471926973
2020-11-27 07:40:00,-0.8668773104358352,0.1615952893975106,-0.6794927812265621,-0.6727667420047998,-1.541603050561538,-0.8685111659181979,-1.4191186547837755,-1.5485665127181008,-0.8653974557444402,-0.9723338398664112,-1.1769429507569944,-0.5863837854075713,-0.6821490333460665,0.4597000980908174,-0.0935055214483151,-0.2210504187684684,1.645947571506324,1.5353426853999677,-0.866364769069014,0.3244412117624446,-0.0097393990347265
2020-11-27 07:50:00,-0.871359670022629,0.1371133875136825,-0.6740233449861168,-0.6631343554422683,-1.5597414727172794,-0.8746988962949037,-1.410344519544685,-1.5662507017059644,-0.8676721554158858,-0.9808045153795212,-1.1843420624759,-0.5819072361758947,-0.6860011330416692,0.466652017591892,-0.0935055214483151,-0.2210504187684684,1.6832706348737771,1.5542561290781387,-0.8699363490058484,0.4842774064476401,-0.0087796953302672
2020-11-27 08:00:00,-0.8579125912622476,0.1355507129253531,-0.6668874398911608,-0.66233863655232,-1.520873425240691,-0.8530418399764333,-1.4053307279794904,-1.5296191673739552,-0.8540239573872117,-0.968945569661167,-1.1670774684651195,-0.5758607859983871,-0.9209792144734368,0.4782385500936962,-0.0935055214483151,-0.2210504187684684,1.6246201067249215,1.5203695424880843,-0.8556500292585113,-0.1504677695683876,-0.0241349546016159
2020-11-27 08:10:00,-0.8668773104358352,0.1350298213959098,-0.6582559858242081,-0.6570198839721396,-1.5169866204930322,-0.8685111659181979,-1.4015703843055942,-1.5258296983051305,-0.8653974557444402,-0.9570866239428129,-1.1658442831786355,-0.5696589000836684,-0.6782969336504637,0.4817145098442336,-0.0935055214483151,-0.2210504187684684,1.571301444771416,1.5177426753105572,-0.866364769069014,-0.1504677695683876,-0.0139620953343474
2020-11-27 08:20:00,-0.8623949508490415,0.1446663146906082,-0.6479580629027446,-0.6457122997465591,-1.5221690268232442,-0.8607765029473157,-1.395303144849101,-1.5308823237302305,-0.858573356730103,-0.965557299455923,-1.168310653751604,-0.5602394944086821,-0.7823036254317378,0.4817145098442336,-0.0935055214483151,-0.2210504187684684,1.60862450813887,1.5224710362301015,-0.8627931891321798,0.1795537259326991,-0.0160734434841579
